IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.19.22.128,4,4,0.00,203.51,1.58,LAX
104.19.61.170,4,4,0.00,203.22,0.19,LAX
104.19.49.34,4,4,0.00,199.30,0.18,LAX
104.18.252.3,4,4,0.00,203.53,0.18,LAX
172.67.225.187,4,4,0.00,203.40,0.06,LAX
104.21.97.129,4,4,0.00,203.95,0.00,LAX
104.24.0.16,4,4,0.00,204.41,0.00,LAX
172.67.195.118,4,4,0.00,204.55,0.00,LAX
104.18.47.131,4,4,0.00,204.61,0.00,LAX
104.25.96.81,4,4,0.00,204.84,0.00,LAX
104.27.20.239,4,4,0.00,205.47,0.00,LAX
104.19.19.40,4,4,0.00,205.53,0.00,LAX
162.159.228.154,4,4,0.00,205.95,0.00,LAX
172.64.93.254,4,4,0.00,206.12,0.00,LAX
162.159.42.143,4,4,0.00,206.20,0.00,LAX
104.19.42.161,4,4,0.00,206.26,0.00,LAX
104.25.99.107,4,4,0.00,206.64,0.00,LAX
104.19.39.235,4,4,0.00,206.66,0.00,LAX
104.19.9.224,4,4,0.00,206.72,0.00,LAX
162.159.40.152,4,4,0.00,206.73,0.00,LAX
162.159.245.128,4,4,0.00,206.77,0.00,LAX
162.159.24.155,4,4,0.00,206.80,0.00,LAX
104.17.131.27,4,4,0.00,206.80,0.00,LAX
104.18.52.39,4,4,0.00,206.97,0.00,LAX
104.16.186.208,4,4,0.00,206.97,0.00,LAX
172.67.218.167,4,4,0.00,207.00,0.00,LAX
104.17.96.236,4,4,0.00,207.22,0.00,LAX
104.19.245.88,4,4,0.00,207.29,0.00,LAX
104.17.132.89,4,4,0.00,207.36,0.00,LAX
172.65.37.99,4,4,0.00,207.38,0.00,LAX
172.67.216.100,4,4,0.00,207.54,0.00,LAX
172.67.173.4,4,4,0.00,207.65,0.00,LAX
104.19.129.250,4,4,0.00,207.72,0.00,LAX
104.25.92.251,4,4,0.00,207.97,0.00,LAX
104.18.48.72,4,4,0.00,208.00,0.00,LAX
162.159.33.157,4,4,0.00,208.01,0.00,LAX
104.16.209.115,4,4,0.00,208.09,0.00,LAX
104.27.196.63,4,4,0.00,208.17,0.00,LAX
104.17.135.210,4,4,0.00,208.20,0.00,LAX
104.24.169.139,4,4,0.00,208.21,0.00,LAX
104.18.82.180,4,4,0.00,208.34,0.00,LAX
172.64.146.226,4,4,0.00,208.36,0.00,LAX
104.24.138.82,4,4,0.00,208.43,0.00,LAX
104.25.143.93,4,4,0.00,208.46,0.00,LAX
104.16.3.140,4,4,0.00,208.47,0.00,LAX
104.18.74.34,4,4,0.00,208.49,0.00,LAX
104.16.214.152,4,4,0.00,208.51,0.00,LAX
104.17.158.23,4,4,0.00,208.58,0.00,LAX
104.17.152.133,4,4,0.00,208.73,0.00,LAX
172.67.156.170,4,4,0.00,208.82,0.00,LAX
104.16.180.92,4,4,0.00,208.86,0.00,LAX
104.24.139.209,4,4,0.00,208.95,0.00,LAX
104.24.174.238,4,4,0.00,208.96,0.00,LAX
104.19.15.58,4,4,0.00,208.96,0.00,LAX
104.19.246.10,4,4,0.00,209.01,0.00,LAX
104.16.0.4,4,4,0.00,209.03,0.00,LAX
173.245.49.34,4,4,0.00,209.12,0.00,LAX
162.159.35.206,4,4,0.00,209.17,0.00,LAX
172.66.216.165,4,4,0.00,209.22,0.00,LAX
104.18.31.102,4,4,0.00,209.29,0.00,LAX
104.19.58.107,4,4,0.00,209.34,0.00,LAX
104.25.152.164,4,4,0.00,209.36,0.00,LAX
104.25.144.194,4,4,0.00,209.37,0.00,LAX
104.16.195.152,4,4,0.00,209.38,0.00,LAX
104.25.148.47,4,4,0.00,209.39,0.00,LAX
104.27.18.150,4,4,0.00,209.39,0.00,LAX
103.21.244.253,4,4,0.00,209.49,0.00,LAX
104.25.73.225,4,4,0.00,209.50,0.00,LAX
162.159.61.75,4,4,0.00,209.58,0.00,LAX
104.17.109.3,4,4,0.00,209.64,0.00,LAX
104.18.100.71,4,4,0.00,209.73,0.00,LAX
172.67.226.7,4,4,0.00,209.81,0.00,LAX
104.24.170.53,4,4,0.00,209.81,0.00,LAX
104.19.31.170,4,4,0.00,209.82,0.00,LAX
104.17.144.104,4,4,0.00,209.87,0.00,LAX
104.19.204.167,4,4,0.00,209.99,0.00,LAX
172.67.223.195,4,4,0.00,210.00,0.00,LAX
104.21.101.232,4,4,0.00,210.00,0.00,LAX
