IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.181.251,4,4,0.00,200.61,0.18,LAX
104.17.149.136,4,4,0.00,200.84,0.13,LAX
104.16.122.195,4,4,0.00,201.91,0.00,LAX
104.21.196.97,4,4,0.00,202.30,0.00,LAX
104.19.233.221,4,4,0.00,202.40,0.00,LAX
104.25.132.111,4,4,0.00,202.77,0.00,LAX
104.18.182.125,4,4,0.00,202.88,0.00,LAX
104.25.38.206,4,4,0.00,203.06,0.00,LAX
104.16.207.19,4,4,0.00,203.16,0.00,LAX
104.27.38.14,4,4,0.00,203.39,0.00,LAX
172.67.123.105,4,4,0.00,203.56,0.00,LAX
104.19.217.20,4,4,0.00,203.61,0.00,LAX
104.19.145.114,4,4,0.00,203.95,0.00,LAX
104.18.31.94,4,4,0.00,203.96,0.00,LAX
104.21.56.206,4,4,0.00,204.13,0.00,LAX
104.21.21.57,4,4,0.00,204.22,0.00,LAX
104.25.184.185,4,4,0.00,204.42,0.00,LAX
104.19.191.12,4,4,0.00,204.51,0.00,LAX
104.27.122.63,4,4,0.00,204.71,0.00,LAX
104.18.172.126,4,4,0.00,204.88,0.00,LAX
172.64.80.77,4,4,0.00,205.00,0.00,LAX
104.17.166.51,4,4,0.00,205.07,0.00,LAX
104.18.254.91,4,4,0.00,205.36,0.00,LAX
104.18.168.133,4,4,0.00,205.52,0.00,LAX
104.18.247.220,4,4,0.00,205.62,0.00,LAX
172.66.193.62,4,4,0.00,205.66,0.00,LAX
172.67.155.62,4,4,0.00,205.76,0.00,LAX
104.25.186.55,4,4,0.00,205.81,0.00,LAX
104.25.195.198,4,4,0.00,205.93,0.00,LAX
104.19.49.6,4,4,0.00,205.94,0.00,LAX
104.18.232.235,4,4,0.00,205.95,0.00,LAX
104.25.12.169,4,4,0.00,205.95,0.00,LAX
104.17.181.147,4,4,0.00,205.95,0.00,LAX
104.19.171.107,4,4,0.00,206.04,0.00,LAX
104.24.144.38,4,4,0.00,206.18,0.00,LAX
104.16.150.243,4,4,0.00,206.24,0.00,LAX
104.18.80.71,4,4,0.00,206.24,0.00,LAX
172.65.46.52,4,4,0.00,206.25,0.00,LAX
104.16.34.166,4,4,0.00,206.32,0.00,LAX
104.21.38.132,4,4,0.00,206.42,0.00,LAX
104.27.90.43,4,4,0.00,206.42,0.00,LAX
104.16.78.238,4,4,0.00,206.46,0.00,LAX
104.24.150.142,4,4,0.00,206.50,0.00,LAX
104.21.211.110,4,4,0.00,206.50,0.00,LAX
104.17.147.25,4,4,0.00,206.51,0.00,LAX
104.16.131.104,4,4,0.00,206.56,0.00,LAX
104.18.14.114,4,4,0.00,206.56,0.00,LAX
104.18.189.151,4,4,0.00,206.62,0.00,LAX
104.19.90.142,4,4,0.00,206.63,0.00,LAX
104.21.195.32,4,4,0.00,206.66,0.00,LAX
104.18.41.1,4,4,0.00,206.67,0.00,LAX
172.67.176.76,4,4,0.00,206.70,0.00,LAX
104.17.180.30,4,4,0.00,206.71,0.00,LAX
162.159.42.225,4,4,0.00,206.80,0.00,LAX
104.16.146.12,4,4,0.00,206.83,0.00,LAX
104.25.221.108,4,4,0.00,206.84,0.00,LAX
104.19.61.104,4,4,0.00,206.86,0.00,LAX
172.67.92.144,4,4,0.00,206.94,0.00,LAX
162.159.62.82,4,4,0.00,206.94,0.00,LAX
104.17.163.58,4,4,0.00,206.96,0.00,LAX
104.17.127.133,4,4,0.00,206.96,0.00,LAX
104.17.78.7,4,4,0.00,207.05,0.00,LAX
172.67.166.100,4,4,0.00,207.12,0.00,LAX
104.16.74.7,4,4,0.00,207.14,0.00,LAX
104.20.41.119,4,4,0.00,207.18,0.00,LAX
172.64.147.147,4,4,0.00,207.21,0.00,LAX
104.18.219.151,4,4,0.00,207.23,0.00,LAX
104.18.49.219,4,4,0.00,207.25,0.00,LAX
104.19.137.158,4,4,0.00,207.34,0.00,LAX
104.18.112.223,4,4,0.00,207.34,0.00,LAX
104.21.51.252,4,4,0.00,207.38,0.00,LAX
172.67.214.39,4,4,0.00,207.40,0.00,LAX
104.18.176.59,4,4,0.00,207.41,0.00,LAX
104.17.23.99,4,4,0.00,207.43,0.00,LAX
104.18.130.85,4,4,0.00,207.47,0.00,LAX
104.20.50.47,4,4,0.00,207.47,0.00,LAX
